Место;Название;Начало;Конец;Адрес;Возраст
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс и показ коллекции «Платье как искусство»презентация студенческих коллекций (Диларам Сердюковастарший преподаватель кафедры искусств АлтГУ).;19:00;20:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастерклассы  «Артдизайн» декорирование гипса (студенты гр.13061394  ИГНруководитель  Анна Нечаева доцент кафедры искусств АлтГУ).;19:00;20:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс по гончарному делу (Анастасия Посысаевастудентка гр.1384 ИГНруководитель Ирина Валерьевна Черняевакандидат искусствоведения,доцент кафедры искусств АлтГУ).;19:00;20:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс по созданию вязаных сувениров (Ольга КолмаковаКсения Долбилинастудентки гр.1394 ИГНруководитель Ольга Комарова,кандидат искусствоведения,доцент кафедры культурологии и дизайна АлтГУ).;19:00;20:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс по лепке из скульптурного пластилина (Роман Боркстудент гр.1394 ИГНруководитель Ольга Комаровакандидат искусствоведения,доцент кафедры культурологии и дизайна АлтГУ).;20:00;21:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс «Цветок Победы и звезда Памяти» (Анастасия Ивановастудентка гр.1394 ИГНруководитель Ольга Комаровакандидат искусствоведения,доцент кафедры культурологии и дизайна АлтГУ).;20:00;21:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс по созданию декоративного панно в технике «Терра» (Зоя МоисееваЮлия Шуйская студентки гр.1394 ИГНруководитель Ольга Комарова,кандидат искусствоведения,доцент кафедры культурологии и дизайна АлтГУ).;20:00;21:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Мастеркласс по росписи на ткани «Russian print» (Елена Русаковичдоцент кафедры  искусств АлтГУ).;21:00;22:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; «Искусственный интеллект и художник: конкуренция или кооперация» (Шелюгина Ольга Александровнакандидат искусствоведениядоцент кафедры культурологии и дизайна АлтГУ).;20:00;21:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; «Искусство Сибири: в поисках идентичности» (Чурилов Михаил Григорьевичискусствоведдоцент кафедры культурологии и дизайна АлтГУ).;21:00;22:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Работают талантливые специалисты общества фотографов АлтГУ.;16:00;23:00;г.Барнаул,ул.Димитрова,66.;6
10. ГАЛЕРЕЯ «UNIVERSUM» факультета искусств и дизайна АлтГУ.; Работает университетская  лавка (буфет).;16:00;23:00;г.Барнаул,ул.Димитрова,66.;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Открытие акции «Ночь музеев».;19:00;19:10;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Танцевальнотеатрализованное представление Клуба старинных  танцев АлтГТУ «Времён связующая нить».;19:15;19:45;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Экскурсии в Центр детского научного и инженернотехнического творчества АлтГТУ «Наследники Ползунова».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.;  «Химический квест».;19:10;21:45;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Фабрика гениев.Робототехника.;19:30;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Демонстрация детских диафильмов «Сказочный калейдоскоп».;19:10;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; «Я готов Zащищать ОтечестVо!» Выставка бронетанковой техники и военного снаряжения Российской армии Военного учебного центра АлтГТУ.;19:30;23:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Демонстрация музейных экспонатов по истории АлтГТУего традициям и достижениям.;19:30;23:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Выставка счётноизмерительной и компьютерной техники.;19:30;23:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Гипсовый декор».;19:30;21:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Выставка «Наука о земле.Горные породы и минералы мира и Алтайского края».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Выставка «История развития геодезического оборудованияот мерной ленты до космических технологий».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Технология Умный дом  на службе человека».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Создание модели дачного дома в графической системе Архикад».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Оценка прочности и качества дорожностроительных материалов».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Построй свою мечту  BIM Технология  информационного моделирования зданий».;19:30;22:30;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Архитектурная инсталляция студентов Института Архитектуры  и дизайна «Уходящее наследие».;19:00;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Выставка лучших учебных работ кафедры «Изобразительное искусство» к 80летию АлтГТУ.;19:30;23:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Литературномузыкальная гостиная «Поэзия и песни народов мира».;19:30;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Мастеркласс «Арабская вязь».;19:30;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Калейдоскоп потрясающих физических экспериментов «Физика от А до Я».;20:00;21:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Феерическое шоу химических экспериментов «Тайны удивительного мира химии».;21:15;22:00;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
11. Музей Алтайского государственного технического университета им.И.И.Ползунова.; Музыкальнотеатрализованное представление  «Через тернии к звёздам».;22:15;22:45;г.Барнаул,ул.Димитрова,73 (Новый корпус АлтГТУ,напротив горбольницы № 1).;6
12. Музей археологии и этнографии Алтая АГУ.; Открытие экспозиции музея для осмотра.Обзорная экскурсия по экспозиции музея «Алтай в древности».;15:30;16:30;г.Барнаул,ул.Димитрова,66 (Корпус «Д» АлтГУ-центральный вход).;6
12. Музей археологии и этнографии Алтая АГУ.; Презентация новой выставки «Древняя Берестаискусствомода и оружие».Выставка уникальных берестяных изделий тюркского и монгольского времени.;16:30;17:00;г.Барнаул,ул.Димитрова,66 (Корпус «Д» АлтГУ-центральный вход).;6
12. Музей археологии и этнографии Алтая АГУ.; Обзорная экскурсия по экспозиции музея «Алтай в древности».;17:00;18:00;г.Барнаул,ул.Димитрова,66 (Корпус «Д» АлтГУ-центральный вход).;6
12. Музей археологии и этнографии Алтая АГУ.; «Средневековая береста знакомая и незнакомая»занимательный рассказ о искусстве использования бересты в жизни древних людей.;18:00;19:00;г.Барнаул,ул.Димитрова,66 (Корпус «Д» АлтГУ-центральный вход).;6
12. Музей археологии и этнографии Алтая АГУ.; Презентация «Виртуального музея Большой Алтайпрародина тюрков».Представление 3Dмоделейартефактов древнетюркского искусства.;19:00;19:30;г.Барнаул,ул.Димитрова,66 (Корпус «Д» АлтГУ-центральный вход).;6
13. Историко-краеведческий музей АлтГПУ.; Открытие акции «Ночь музеев2022» (3 этажауд.317).;19:00;19:15;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Уникальные предметы из музейного собрания»: экскурсии по экспозиции музея от сотрудников и собирателей коллекций (3 этажауд.317).;19:15;20:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Уникальные предметы из музейного собрания»: экскурсии по экспозиции музея от сотрудников и собирателей коллекций (3 этажауд.317).;21:00;21:30;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Уникальные предметы из музейного собрания»: экскурсии по экспозиции музея от сотрудников и собирателей коллекций (3 этажауд.317).;22:00;23:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Загадки старых переплетов: книжные сокровища из фондов редких книг научнопедагогической библиотеки АлтГПУ»: экскурсии по выставке (1 этажауд.103).;19:00;21:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Казахская культура.Традиции.Быт»: экскурсии по выставке Центра казахского языка и культуры АлтГПУ (3 этажауд.304).;19:15;23:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Песни украинских переселенцев Алтая»: фольклорноэтнографическая программа фольклорного ансамбля «Узорье» Алтайского государственного института культуры (3 этажауд.312).;19:15;20:15;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Живая традиция»: интерактивная программа для детей и взрослых детского фольклорного ансамбля «Маруся» МБУ ДО «Детскоюношеский центр» Индустриального района (3 этажауд.322).;19:30;20:30;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.;" «От Пасхи до Троицы: традиционные русские обряды и праздники»: программа «Центра русской традиционной культуры ""Утешная канарейка”» с участием студии народного пения «Пава» и фольклорного ансамбля «Голубеня» (3 этажауд.317).";20:00;21:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «”Читаем” по косе: традиционные женские прически и головные уборы у русских Алтая»: интерактивная программа (3 этажауд.317).;21:30;22:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Игроделы»: культурноигровая площадка для детей (3 этажауд.323ауд.325).;19:15;22:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Сказочная география»: детская интерактивная программа (3 этажауд.312).;20:30;22:30;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Из настоящего в прошлое»: археологический квест для юных любителей археологии (3 этажауд.305).;20:30;22:30;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; Виртуальная экскурсия в мультимедийный «Исторический парк «Россиямоя история» (г.Новосибирск) (3 этажауд.302).;19:00;20:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; «Цифровая библиотека»: историкокультурное наследие Алтайского края в ресурсах и проектах научнопедагогической библиотеки АлтГПУ (2 этажауд.200).;19:00;22:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; Виртуальное путешествие по музеям России (3 этажауд.302).;20:00;21:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
13. Историко-краеведческий музей АлтГПУ.; Видеолекции исследователей АлтГПУ (3 этажауд.311):;21:00;23:00;г.Барнаул,ул.Молодежная,55, каб.315-317.;6
14. Музей анатомии животных АГАУ.; Осмотр экспозиций препаратов с экскурсоводом:;19:00;23:00;г.Барнаул,ул.Мерзликина,8,корпус 7б,ауд.28.;6
14. Музей анатомии животных АГАУ.; Минилекторий «Технология изготовление мумий животных».;20:00;20:30;г.Барнаул,ул.Мерзликина,8,корпус 7б,ауд.28.;6
14. Музей анатомии животных АГАУ.; Мастеркласс «Изготовление музейного препарата».;21:00;21:30;г.Барнаул,ул.Мерзликина,8,корпус 7б,ауд.28.;6
14. Музей анатомии животных АГАУ.; Мастеркласс «Еда полезная и нет».;22:00;22:30;г.Барнаул,ул.Мерзликина,8,корпус 7б,ауд.28.;6
15. Выставочный центр Алтайского территориального управления Западно-Сибирской железной дороги (2 площадки).; Тематические экскурсии  по экспозиционным залам выставочного центра:;19:00;2:00;г.Барнаул,ул.Привокзальная,14 (основная площадка-территория локомотивного депо Барнаул).;6
15. Выставочный центр Алтайского территориального управления Западно-Сибирской железной дороги (2 площадки).; Пешеходные экскурсии по территории эксплуатационного локомотивного депо Барнаул.Знакомство с памятниками истории строительства железной дороги на Алтае.Посещение смотровой площадки «Современный подвижной состав дороги».;19:00;2:00;г.Барнаул,ул.Привокзальная,14 (основная площадка-территория локомотивного депо Барнаул).;6
15. Выставочный центр Алтайского территориального управления Западно-Сибирской железной дороги (2 площадки).; Презентации: ;19:00;2:00;г.Барнаул,ул.Привокзальная,14 (основная площадка-территория локомотивного депо Барнаул).;6
15. Выставочный центр Алтайского территориального управления Западно-Сибирской железной дороги (2 площадки).; Концерт победителей третьего Регионального  фестиваля самодеятельного искусства «Открытый микрофон». Для посетителей акции будет петь вокальная  группа ветерановжелезнодорожников «Попутчики» (концертная площадка около здания Алтайского территориального управления дороги по адресу: площадь Победы8).;20:00;21:30;г.Барнаул,ул.Привокзальная,14 (основная площадка-территория локомотивного депо Барнаул).;6
15. Выставочный центр Алтайского территориального управления Западно-Сибирской железной дороги (2 площадки).; Музыкальная гостиная откроет двери для всех гостейчтобы вспомнить мелодии прошлых лет (концертная площадка около здания Алтайского территориального управления дороги по адресу: площадь Победы8).;22:00;23:00;г.Барнаул,ул.Привокзальная,14 (основная площадка-территория локомотивного депо Барнаул).;6
16. Центр противопожарной пропаганды и общественных связей 1 пожарно-спасательный отряд ФПС ГПС  Главного управления МЧС России по Алтайскому краю.; Экскурсия «История развития пожарного дела в России и на Алтаепожарная техникасредства индивидуальной защиты»(каждые 20 минут).;19:00;2:00;г.Барнаул,ул.Интернациональная,58.;6
16. Центр противопожарной пропаганды и общественных связей 1 пожарно-спасательный отряд ФПС ГПС  Главного управления МЧС России по Алтайскому краю.; Демонстрация современных и ретропожарных автомобилей на фасаде 1 пожарноспасательной  части.;19:00;21:00;г.Барнаул,ул.Интернациональная,58.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; «Народы Алтая: о дорогах больших и малых»галапрограмма  фольклорных ансамблейнародных коллективовпредставителей национальных культурных центров.;18:00;19:30;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; САНОБРАБОТКА.;19:30;19:40;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; «Земля  алтайская  щедра дарами» фольклорная программа.;19:50;20:20;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; «Дорогидороги…»литературномузыкальная композиция в       ;20:20;20:50;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; САНОБРАБОТКА.             ;20:50;21:00;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; «Дороги измеряются друзьямиа не километрами»программа авторских стиховбаллад и песен о дорогах и дорожникахо любви,верности и дружбе.;21:00;22:30;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; «Дороги и мы…»выставка рисунков учащихся Барнаульской детской художественной школы искусств № 2.;18:00;23:00;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
17. Музей истории дорог Алтая КГКУ «АЛТАЙАВТОДОР».; Селфи в интерьерахна фоне экспонатовв залах музея;18:00;23:00;г.Барнаул,пл.Баварина,17,Музейный комплекс учебного центра дорожного хозяйства Алтайского края.;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Открытие акции «Ночь музеев2022».;19:00;19:10;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Музей Автоугона представляет программу «Музей собирает друзей!»:;19:00;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Дуэт аккордеонистоввиртуозов «Твинс» (музыка всех стилей и направлений).;"	19:00";23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Фотосессия с киногероями.;"	19:00";23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Вкуснейшая полевая кухня.;"	19:00";23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Антикварная лавка.;"	19:00";23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Мастерклассы (роспись в технике «Батик»).;"	19:00";23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Экскурсии:;19:10;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.;  «Ретромашины».«Автомобиль до автомобиля».Обзорная экскурсия по музею.;19:10;20:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Военная техника».«Внедорожники».Обзорная экскурсия по музею.;20:00;21:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Советский автопром».«Первые американские автомобили».Обзорная экскурсия по музею.;21:00;22:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Дизайн и стайлинг автомобилей из прошлого в настоящее».Обзорная экскурсия по музею.;22:00;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Концепткары и прототипы».Обзорная экскурсия по музею.;23:00;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Самые престижные автомобили».Обзорная экскурсия по музею.;0:00;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Оригинальные и популярные автомобили».Обзорная экскурсия по музею.;1:00;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Показ экспозиции музея и выставки отмычек.;19:00;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «Отправь свой старый ключ или отмычку в «космос» (изготовление «ракеты» из старых ключей).;19:10;1:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Викторина «Российская космонавтика».;19:10;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Викторина «Про100кино».;19:10;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Фотографирование на мотоцикле «Урал» ( с героем из к/ф «Берегись автомобиля»).;20:00;0:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Викторина «Мифы древней Греции».;19:10;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Психологическая разгрузка для водителей «Маска» (разбей свою проблему (изготовление лица противника из гипса) и съешь свою проблему (изготовление лица противника из торта).;19:10;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Выставка работ «100 лет BMW » (выставка масок: в виде дорожных знаков (въезд запрещенслепой водительглухой водительинь и янь и другие);19:00;23:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Открытие акции «Ночь музеев2022».;19:00;19:10;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Обзорная экскурсия по музею.;19:10;0:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Экскурсия «У русской печи».А вы мылись в русской печи? Об этом можно узнать в нашем музее.;19:10;0:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; «История улицы Анатолия»названия улицы с момента ее существования.;19:10;0:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
18. Музей автоугона им.Руслана Дульцева-Деточкина.; Экскурсия «Изба портного Павла Фролова».;19:10;0:00;г.Барнаул,ул.Анатолия,130 (пересечение Анатолия-Красноармейский пр-т).;6
